event_id,event_name,date,city,region,nation,event_link,venue,attendance,latitude,longitude
713,UFC Fight Night: Covington vs. Buckley,2024-12-14,Tampa,Florida,USA,http://ufcstats.com/event-details/72c9c2eadfc3277e,Amalie Arena,18625.0,27.942778,-82.451944
712,UFC 310: Pantoja vs. Asakura,2024-12-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/ad23903ef3af7406,T-Mobile Arena,18648.0,36.102778,-115.178333
711,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,Macau,Macau,China,http://ufcstats.com/event-details/e955046551f8c7dd,Galaxy Arena,12615.0,22.1439403,113.5568931
710,UFC 309: Jones vs. Miocic,2024-11-16,New York City,New York,USA,http://ufcstats.com/event-details/daff32bc96d1eabf,Madison Square Garden,20200.0,40.750556,-73.993611
709,UFC Fight Night: Magny vs. Prates,2024-11-09,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/585f9ffdb0cd0466,UFC Apex,,36.068,-115.228
708,UFC Fight Night: Moreno vs. Albazi,2024-11-02,Edmonton,Alberta,Canada,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,Rogers Place,16439.0,53.546944,-113.497778
707,UFC 308: Topuria vs. Holloway,2024-10-26,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/221b2a3070c7ce3e,Etihad Arena,,24.4603,54.604
706,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6a0047ac8c99fece,UFC Apex,,36.068,-115.228
705,UFC Fight Night: Royval vs. Taira,2024-10-12,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/5bdcbd8dd681a257,UFC Apex,,36.068,-115.228
704,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Salt Lake City,Utah,USA,http://ufcstats.com/event-details/eee8efec7b951d84,Delta Center,17487.0,40.768333,-111.901111
703,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Paris,Ile-de-France,France,http://ufcstats.com/event-details/079488710f012779,Accor Arena,15449.0,48.838611,2.378611
702,UFC 306: Riyadh Season Noche UFC,2024-09-14,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/0c01568b1ac77bff,Sphere,16024.0,36.120556,-115.161389
701,UFC Fight Night: Burns vs. Brady,2024-09-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/ee0b69e307c857e5,UFC Apex,,36.068,-115.228
700,UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/be8ad887e4d674b0,UFC Apex,,36.068,-115.228
699,UFC 305: Du Plessis vs. Adesanya,2024-08-17,Perth,Western Australia,Australia,http://ufcstats.com/event-details/32ba186f4b0e3267,RAC Arena,14152.0,-31.9483,115.8519
698,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/2c733e059462c1dc,UFC Apex,,36.068,-115.228
697,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/fe435e440b5de0ff,Etihad Arena,,24.4603,54.604
696,UFC 304: Edwards vs. Muhammad 2,2024-07-27,Manchester,England,United Kingdom,http://ufcstats.com/event-details/026b4f7049085842,Co-op Live,17907.0,53.486389,-2.199722
695,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c11036da9162cb5f,UFC Apex,,36.068,-115.228
694,UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Denver,Colorado,USA,http://ufcstats.com/event-details/66e0a70352fef46a,Ball Arena,16884.0,39.7486838,-105.00754401780362
693,UFC 303: Pereira vs. Prochazka 2,2024-06-29,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f3743d8ef5dde970,T-Mobile Arena,18881.0,36.102778,-115.178333
692,UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Riyadh,Riyadh,Saudi Arabia,http://ufcstats.com/event-details/b12a1d19ee383b7c,Kingdom Arena,,32.751551,-117.2071972
691,UFC Fight Night: Perez vs. Taira,2024-06-15,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/9c5828c6fd9dc948,UFC Apex,,36.068,-115.228
690,UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Louisville,Kentucky,USA,http://ufcstats.com/event-details/cba3a2dfbc06ce79,KFC Yum! Center,19578.0,38.2575,-85.753889
689,UFC 302: Makhachev vs. Poirier,2024-06-01,Newark,New Jersey,USA,http://ufcstats.com/event-details/6e4acc2c115215b5,Prudential Center,17834.0,40.733611,-74.171111
688,UFC Fight Night: Barboza vs. Murphy,2024-05-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/46baf0f57edfa4df,UFC Apex,,36.068,-115.228
687,UFC Fight Night: Lewis vs. Nascimento,2024-05-11,St. Louis,Missouri,USA,http://ufcstats.com/event-details/5dfe71ade71f3a4b,Enterprise Center,15960.0,38.626667,-90.2025
686,UFC 301: Pantoja vs. Erceg,2024-05-04,Rio de Janeiro,Rio de Janeiro,Brazil,http://ufcstats.com/event-details/981ab7a0576f76a0,Farmasi Arena,14514.0,-22.975278,-43.390278
685,UFC Fight Night: Nicolau vs. Perez,2024-04-27,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a16ce18149021139,UFC Apex,,36.068,-115.228
684,UFC 300: Pereira vs. Hill,2024-04-13,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6750e338922a099d,T-Mobile Arena,20067.0,36.102778,-115.178333
683,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/899eaba48fa864a6,UFC Apex,,36.068,-115.228
682,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Atlantic City,New Jersey,USA,http://ufcstats.com/event-details/dba230fe33011201,Boardwalk Hall,12198.0,41.75195805,-72.69158289823056
681,UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/79ff6545b0abc685,UFC Apex,,36.068,-115.228
680,UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c398235fcaf8d71d,UFC Apex,,36.068,-115.228
679,UFC 299: O'Malley vs. Vera 2,2024-03-09,Miami,Florida,USA,http://ufcstats.com/event-details/a9df5ae20a97b090,Kaseya Center,19165.0,25.781389,-80.188056
678,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/e4a9dbade7c7e1a7,UFC Apex,,36.068,-115.228
677,UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Mexico City,Distrito Federal,Mexico,http://ufcstats.com/event-details/902ab9197b83d0db,Arena CDMX,21546.0,19.496309,-99.175429
676,UFC 298: Volkanovski vs. Topuria,2024-02-17,Anaheim,California,USA,http://ufcstats.com/event-details/dab0e6cb8c932162,Honda Center,18186.0,33.807778,-117.876667
675,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/eaea0fc7b76525a8,UFC Apex,,36.068,-115.228
674,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/cce79e827569f26e,UFC Apex,,36.068,-115.228
673,UFC 297: Strickland vs. Du Plessis,2024-01-20,Toronto,Ontario,Canada,http://ufcstats.com/event-details/bd85ca0bb4f26cfc,Scotiabank Arena,18559.0,43.643333,-79.379167
672,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/010986ee359fb863,UFC Apex,,36.068,-115.228
671,UFC 296: Edwards vs. Covington,2023-12-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a8e8587a06e73c87,T-Mobile Arena,19039.0,36.102778,-115.178333
670,UFC Fight Night: Song vs. Gutierrez,2023-12-09,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/5ef0088c1b19beeb,UFC Apex,,36.068,-115.228
669,UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,Austin,Texas,USA,http://ufcstats.com/event-details/53e4e21f4c688801,Moody Center,14485.0,30.280972,-97.730472
668,UFC Fight Night: Allen vs. Craig,2023-11-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/3feed7d02711d8b7,UFC Apex,,36.068,-115.228
667,UFC 295: Prochazka vs. Pereira,2023-11-11,New York City,New York,USA,http://ufcstats.com/event-details/5a558ba1ff5e9121,Madison Square Garden,19039.0,40.750556,-73.993611
666,UFC Fight Night: Almeida vs. Lewis,2023-11-04,Sao Paulo,Sao Paulo,Brazil,http://ufcstats.com/event-details/7c4ec656d8fcb867,Ginásio do Ibirapuera,10792.0,-23.577721,-46.656048
665,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/13a0fb8fbdafb54f,Etihad Arena,,24.4603,54.604
664,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f3a078277b3b8ff4,UFC Apex,,36.068,-115.228
663,UFC Fight Night: Dawson vs. Green,2023-10-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c8a49ff2acb6f3c5,UFC Apex,,36.068,-115.228
662,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c945adc22c2bfe8f,UFC Apex,,36.068,-115.228
661,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/8fa2b06572365321,T-Mobile Arena,18766.0,36.102778,-115.178333
660,UFC 293: Adesanya vs. Strickland,2023-09-09,Sydney,New South Wales,Australia,http://ufcstats.com/event-details/ece280745f8727b8,Qudos Bank Arena,18168.0,-33.85,151.066667
659,UFC Fight Night: Gane vs. Spivac,2023-09-02,Paris,Ile-de-France,France,http://ufcstats.com/event-details/ef61d9f5176b3200,Accor Arena,15610.0,48.838611,2.378611
658,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Kallang,Kallang,Singapore,http://ufcstats.com/event-details/89a407032911e27e,Singapore Indoor Stadium,10263.0,1.300694,103.874222
657,UFC 292: Sterling vs. O'Malley,2023-08-19,Boston,Massachusetts,USA,http://ufcstats.com/event-details/2719f300b0439039,TD Garden,18293.0,42.366303,-71.062228
656,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/d2fa318f34d0aadc,UFC Apex,,36.068,-115.228
655,UFC Fight Night: Sandhagen vs. Font,2023-08-05,Nashville,Tennessee,USA,http://ufcstats.com/event-details/6f81b6de2557739a,Bridgestone Arena,17792.0,36.159167,-86.778611
654,UFC 291: Poirier vs. Gaethje 2,2023-07-29,Salt Lake City,Utah,USA,http://ufcstats.com/event-details/ccd58ff71e260ed5,Delta Center,18467.0,40.768333,-111.901111
653,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,London,England,United Kingdom,http://ufcstats.com/event-details/1174782eacde9b0c,The O2 Arena,15078.0,51.5029,0.0032
652,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c9885b1b7c7055a0,UFC Apex,,36.068,-115.228
651,UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6085ceb59087514b,T-Mobile Arena,19204.0,36.102778,-115.178333
650,UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/e9e1acc96536bb4f,UFC Apex,,36.068,-115.228
649,UFC Fight Night: Emmett vs. Topuria,2023-06-24,Jacksonville,Florida,USA,http://ufcstats.com/event-details/a780d16cf7eed44d,VyStar Veterans Memorial Arena,14101.0,30.325769,-81.645069
648,UFC Fight Night: Vettori vs. Cannonier,2023-06-17,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/b9415726dc3ec526,UFC Apex,,36.068,-115.228
647,UFC 289: Nunes vs. Aldana,2023-06-10,Vancouver,British Columbia,Canada,http://ufcstats.com/event-details/b6c6d1731ff00eeb,Rogers Arena,17628.0,49.277778,-123.108889
646,UFC Fight Night: Kara-France vs. Albazi,2023-06-03,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/7abe471b61725980,UFC Apex,,36.068,-115.228
645,UFC Fight Night: Dern vs. Hill,2023-05-20,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6f812143641ceff8,UFC Apex,,36.068,-115.228
644,UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13,Charlotte,North Carolina,USA,http://ufcstats.com/event-details/901cddcbfa079097,Spectrum Center,18712.0,35.225,-80.839167
643,UFC 288: Sterling vs. Cejudo,2023-05-06,Newark,New Jersey,USA,http://ufcstats.com/event-details/3c6976f8182d9527,Prudential Center,17559.0,40.733611,-74.171111
642,UFC Fight Night: Song vs. Simon,2023-04-29,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/51b1e2fd9872005b,UFC Apex,,36.068,-115.228
641,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6fb1ba67bef41b37,UFC Apex,,36.068,-115.228
640,UFC Fight Night: Holloway vs. Allen,2023-04-15,Kansas City,Missouri,USA,http://ufcstats.com/event-details/15b1b21cd743d652,T-Mobile Center,16234.0,39.0975,-94.580278
639,UFC 287: Pereira vs. Adesanya 2,2023-04-08,Miami,Florida,USA,http://ufcstats.com/event-details/3dc3022232b79c7a,Kaseya Center,19032.0,25.781389,-80.188056
638,UFC Fight Night: Vera vs. Sandhagen,2023-03-25,San Antonio,Texas,USA,http://ufcstats.com/event-details/aec273fcb765330d,Frost Bank Center,16076.0,29.426944,-98.4375
637,UFC 286: Edwards vs. Usman 3,2023-03-18,London,England,United Kingdom,http://ufcstats.com/event-details/e4bb7e483c4ad318,The O2 Arena,17588.0,51.5029,0.0032
636,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/35080a7f406f9ab3,The Theater at Virgin Hotels,2361.0,36.1093,-115.1531
635,UFC 285: Jones vs. Gane,2023-03-04,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/1ccff7f0cfdf85eb,T-Mobile Arena,19471.0,36.102778,-115.178333
634,UFC Fight Night: Muniz vs. Allen,2023-02-25,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/806975e1b4f47b27,UFC Apex,,36.068,-115.228
633,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f21a3d68fb9df387,UFC Apex,,36.068,-115.228
632,UFC 284: Makhachev vs. Volkanovski,2023-02-11,Perth,Western Australia,Australia,http://ufcstats.com/event-details/01dd4cdc2446f665,RAC Arena,14124.0,-31.9483,115.8519
631,UFC Fight Night: Lewis vs. Spivac,2023-02-04,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/d26394fc0e8e880a,UFC Apex,,36.068,-115.228
630,UFC 283: Teixeira vs. Hill,2023-01-21,Rio de Janeiro,Rio de Janeiro,Brazil,http://ufcstats.com/event-details/5717efc6f271cd52,Jeunesse Arena,13604.0,-22.975278,-43.390278
629,UFC Fight Night: Strickland vs. Imavov,2023-01-14,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,UFC Apex,,36.068,-115.228
628,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/56ec58954158966a,UFC Apex,,36.068,-115.228
627,UFC 282: Blachowicz vs. Ankalaev,2022-12-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f65a0eb902f9476b,T-Mobile Arena,18455.0,36.102778,-115.178333
626,UFC Fight Night: Thompson vs. Holland,2022-12-03,Orlando,Florida,USA,http://ufcstats.com/event-details/b23388ff8ac6637b,Kia Center,17065.0,28.539167,-81.383611
625,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/012fc7cd0779c09a,UFC Apex,,36.068,-115.228
624,UFC 281: Adesanya vs. Pereira,2022-11-12,New York City,New York,USA,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,Madison Square Garden,20845.0,40.750556,-73.993611
623,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/756f45905fb20cb5,UFC Apex,,36.068,-115.228
622,UFC Fight Night: Kattar vs. Allen,2022-10-29,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/be5aab761c40ef35,UFC Apex,,36.068,-115.228
621,UFC 280: Oliveira vs. Makhachev,2022-10-22,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/885e7f70dcac0007,Etihad Arena,13400.0,24.4603,54.604
620,UFC Fight Night: Grasso vs. Araujo,2022-10-15,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/49c29e57d4e2be6f,UFC Apex,,36.068,-115.228
619,UFC Fight Night: Dern vs. Yan,2022-10-01,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/4f670b7972fa0a2e,UFC Apex,,36.068,-115.228
618,UFC Fight Night: Sandhagen vs. Song,2022-09-17,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/8d477c3fbe001f9d,UFC Apex,,36.068,-115.228
617,UFC 279: Diaz vs. Ferguson,2022-09-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/93bf96be327fcd98,T-Mobile Arena,19125.0,36.102778,-115.178333
616,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Paris,Ile-de-France,France,http://ufcstats.com/event-details/00a905a4a4a2b071,Accor Arena,15405.0,48.838611,2.378611
615,UFC 278: Usman vs. Edwards,2022-08-20,Salt Lake City,Utah,USA,http://ufcstats.com/event-details/4f853e98886283cf,Vivint Arena,18321.0,40.768333,-111.901111
614,UFC Fight Night: Vera vs. Cruz,2022-08-13,San Diego,California,USA,http://ufcstats.com/event-details/a23e63184c65f5b8,Pechanga Arena,12804.0,32.755278,-117.212222
613,UFC Fight Night: Santos vs. Hill,2022-08-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/8f6a18831a120817,UFC Apex,,36.068,-115.228
612,UFC 277: Pena vs. Nunes 2,2022-07-30,Dallas,Texas,USA,http://ufcstats.com/event-details/b0a6124751a56bc4,American Airlines Center,19442.0,32.790556,-96.810278
611,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,London,England,United Kingdom,http://ufcstats.com/event-details/319c15b8aac5bfde,The O2 Arena,17813.0,51.5029,0.0032
610,UFC Fight Night: Ortega vs. Rodriguez,2022-07-16,Elmont,New York,USA,http://ufcstats.com/event-details/8fd76e1b49c00ae2,UBS Arena,16979.0,40.71179,-73.72604
609,UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/31da66df48c0c1a0,UFC Apex,,36.068,-115.228
608,UFC 276: Adesanya vs. Cannonier,2022-07-02,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/4a9e305633f3ef47,T-Mobile Arena,19649.0,36.102778,-115.178333
607,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/eb42d4febfafefd1,UFC Apex,,36.068,-115.228
606,UFC Fight Night: Kattar vs. Emmett,2022-06-18,Austin,Texas,USA,http://ufcstats.com/event-details/a0a680fe2f6cc8e6,Moody Center,13689.0,30.280972,-97.730472
605,UFC 275: Teixeira vs. Prochazka,2022-06-11,Kallang,Kallang,Singapore,http://ufcstats.com/event-details/3a24769a4855040a,Singapore Indoor Stadium,10787.0,1.300694,103.874222
604,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/57591bbf1623574e,UFC Apex,,36.068,-115.228
603,UFC Fight Night: Holm vs. Vieira,2022-05-21,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a6c32678efd4f434,UFC Apex,,36.068,-115.228
602,UFC Fight Night: Blachowicz vs. Rakic,2022-05-14,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/60ba33c3f555a7a3,UFC Apex,,36.068,-115.228
